,word,count
1130,оболочку,1
1131,"слова
которая",1
1132,любую,1
1133,"минуту
может",1
1134,"порваться



		",1
1135,"

мигом
обходят",1
1136,"очереди
если",1
1137,"
задумываюсь",1
1138,"чемто
мысли",1
1139,"мои
в",1
1140,туманности,1
1141,"андромеды
а",1
1142,"деле
стою",1
1143,"здесь
за",1
1144,"хлебом



		",1
1145,"

девушки
гораздо",1
1146,тоньше,3
1147,"поэтов
я",1
1148,"чувствую
бедность",1
1149,"свою
когда",1
1150,"вдруг
сидишь",1
1151,"молчишь
в",1
1152,глазах,4
1153,"большие
испуганные",1
1154,"

гудение",1
1155,"пчел
заставляет",2
1156,"звенеть
цветы
затем",1
1157,"деревья
и",2
1158,"наконец
весь",2
1159,сад,3
1160,"вокруг

неведомая",2
1161,"струна
задета
и",2
1162,"мне



		",1
1163,"

мы",2
1164,"тобой
песочные",1
1165,"часы
я",1
1166,прибываю,2
1167,"
ты",5
1168,"убываешь
я",1
1169,"убываешь



		",1
1170,"

мой",3
1171,"сколотил
себе
такой",1
1172,"его
на",2
1173,"чердаке
в",1
1174,"лучей
когда",1
1175,"маленьким


таллиннские",1
1176,"камни

безымянным",1
1177,строителям,1
1178,церкви,1
1179,"олевисте

когда",1
1180,здесь,19
1181,"ходят
эти",1
1182,"камни
гулко",1
1183,"молчат
мечты",1
1184,стоны,1
1185,"людей
замурованы",1
1186,"них
эти",1
1187,камни,1
1188,"
кляп",1
1189,"рту
у",1
1190,"веков
но",1
1191,"свободны
и",1
1192,"творил

мечты",1
1193,"силы
собраны",1
1194,"фокус
чтобы",1
1195,"уйти
из",1
1196,плена,1
1197,"вещей
острые",1
1198,"шпили
подымались",1
1199,"небу
предчувствуя",1
1200,"смутно
стройность",1
1201,"ракет
но",1
1202,горючего,1
1203,"было
и",1
1204,"сводами
прозвучал",1
1205,"хорал

это",1
1206,"люди
честно",1
1207,"перешедшие
в",1
1208,"камень
потому",1
1209,"так
приказала",1
1210,"эпоха
их",1
1211,"видно
но",1
1212,"есть


		",1
1213,"

озабоченный",1
1214,взад,1
1215,"вперед
по",1
1216,половице,1
1217,"
словно",3
1218,"ктото
запер",1
1219,"ключ



		",1
1220,"

стипендия",1
1221,"кармане
и",1
1222,"спешу
истратить",1
1223,"ее
весь",1
1224,"вечер
передо",1
1225,"мной
волшебный",1
1226,край,1
1227,"возможного
весь",1
1228,город,1
1229,"огнях
на",1
1230,моей,6
1231,"ладони
по",1
1232,три,9
1233,"копейки
пью",1
1234,"газировку



		",1
1235,"знаю
кто",1
1236,"ты…
случай",1
1237,"подарок
или",1
1238,плата,1
1239,"ожидание
есть",1
1240,мире,6
1241,такая,4
1242,"плата
я",1
1243,ничего,5
1244,"знаю
",1
1245,"влюблен
в",1
1246,"красоту
простых",1
1247,"вещей
которые",1
1248,"горят
как",1
1249,"рябина
в",1
1250,осеннем,1
1251,"саду
в",1
1252,"молодости
мы",1
1253,"мчимся
мимо",1
1254,"них
и",1
1255,"потом
открываем
настоящих",1
1256,"друзей



		",1
1257,"

хочу",1
1258,смыть,2
1259,красоту,4
1260,"твою
как",1
1261,"время
чтобы",1
1262,"добраться
до",1
1263,сути,3
1264,"твоей
чисто",1
1265,"обыденной
в",1
1266,глубоком,1
1267,"раздумье
мне",1
1268,удается,2
1269,"
тебя",2
1270,"разделить
как",1
1271,появляешься,2
1272,"прекрасна


твои",1
1273,"волосы

когда",1
1274,распускаешь,1
1275,"волосы
вдруг",1
1276,исчезаешь,1
1277,"ними
и",1
1278,ускользаешь,1
1279,"кудато
куда",1
1280,мужчине,1
1281,нет,14
1282,"доступа
там",1
1283,наверно,1
1284,"заклинаешь
чтобы",1
1285,"хорошо



		",1
1286,чувствую,5
1287,"естественность
и",1
1288,далек,2
1289,"нее
десятки",1
1290,связей,2
1291,"порвались
между",1
1292,взглядом,3
1293,"словом
словом",1
1294,"делом
желанием",1
1295,"исполнением



",1
1296,"

куда",1
1297,вас,8
1298,"приглашу
в",1
1299,келью,2
1300,"мою
полную",1
1301,"книг
где",1
1302,"бумаге
столько",1
1303,"происходит
где",1
1304,"деле
ничего",1
1305,"произошло



		",1
1306,"назад
воробьи",1
1307,"чирикают
в",1
1308,"подошве
когда",1
1309,"иду
по",1
1310,"лужам
и",1
1311,"листьям
		",1
1312,"

люди",1
1313,"углубляясь
в",1
1314,темные,3
1315,"туннели
декабря
становятся
все",1
1316,"собранней
боятся",1
1317,"наверно
навсегда",1
1318,там,6
1319,"остаться



		",1
1320,"

исчезаю",1
1321,"весне
в",1
1322,"толпе
в",1
1323,"лужах
в",1
1324,"синеве
и",1
1325,"ищите
мне",1
1326,"хорошо…



		",1
1327,"ласточки
на",1
1328,"проводах
они",1
1329,"сидят
на",1
1330,балконах,1
1331,"
маляры
штукатурщицы
как",1
1332,"воробьи
заглядывают
ко",1
1333,"мне
в",1
1334,"окно
отчего
так",1
1335,"поздно
просыпаюсь
отчего
весь",1
1336,"день
окружен",1
1337,"книгами
часами",1
1338,"сидят
и",1
1339,"всетаки
дом",1
1340,"встает



		",1
1341,"

а",7
1342,стать,2
1343,"мне
водителем",1
1344,"троллейбуса
вместо",1
1345,названий,1
1346,"остановок
я",1
1347,буду,1
1348,"читать
свои",1
1349,"стихи



		",1
1350,"

когда",1
1351,"иду
как",1
1352,старый,1
1353,"рембрандт
кто",1
1354,"подозревает
во",1
1355,"мне
поэта
рвется",1
1356,подкладка,1
1357,"пальто
рвется",1
1358,"судьба
я",1
1359,мог,3
1360,"запросто
так",1
1361,"жить
если",1
1362,"было
красивых",1
1363,"девушек



		",1
1364,"

этот",1
1365,странный,3
1366,"обычай
присваивать",1
1367,"имена
или",1
1368,иногда,6
1369,"номера
без",1
1370,"уйду
без",1
1371,разве,2
1372,"найдут

1967


		",1
1373,"

незримый
разъяренный",1
1374,"зверь
рычит",1
1375,"темноте
ночных",1
1376,"аэродромов

это",1
1377,"время
требует",1
1378,"властно
нашей",1
1379,"плоти
крови",1
1380,"нервов



",1
1381,поисках,2
1382,"поэзии
я",1
1383,забрел,1
